Header,Hyperlink
Combined Print & E-Book Fiction,https://www.nytimes.com/books/best-sellers/combined-print-and-e-book-fiction/
Combined Print & E-Book Nonfiction,https://www.nytimes.com/books/best-sellers/combined-print-and-e-book-nonfiction/
Hardcover Fiction,https://www.nytimes.com/books/best-sellers/hardcover-fiction/
Hardcover Nonfiction,https://www.nytimes.com/books/best-sellers/hardcover-nonfiction/
Paperback Trade Fiction,https://www.nytimes.com/books/best-sellers/trade-fiction-paperback/
Paperback Nonfiction,https://www.nytimes.com/books/best-sellers/paperback-nonfiction/
"Advice, How-To & Miscellaneous",https://www.nytimes.com/books/best-sellers/advice-how-to-and-miscellaneous/
Children’s Middle Grade Hardcover,https://www.nytimes.com/books/best-sellers/childrens-middle-grade-hardcover/
Children’s Picture Books,https://www.nytimes.com/books/best-sellers/picture-books/
Children’s Series,https://www.nytimes.com/books/best-sellers/series-books/
Young Adult Hardcover,https://www.nytimes.com/books/best-sellers/young-adult-hardcover/
