Book Title,Author,Publisher,Description,Time on Bestseller List
THE OFFICIAL HARRY POTTER BAKING BOOK,Joanna Farrow,Scholastic,Forty-three tasty recipes inspired by the Harry Potter films.,New this week
WONDER,R.J. Palacio,Knopf,A boy with a facial deformity starts school.,306 weeks on the list
"ALI CROSS: LIKE FATHER, LIKE SON",James Patterson,jimmy patterson,"Ali investigates the shooting of new friend, Zoe.",4 weeks on the list
REFUGEE,Alan Gratz,Scholastic,Three children in three different conflicts look for safe haven.,140 weeks on the list
AMARI AND THE NIGHT BROTHERS,B.B. Alston,Balzer + Bray,Amari Peters competes for a spot at the Bureau of Supernatural Affairs.,25 weeks on the list
THE ONE AND ONLY BOB,Katherine Applegate. Illustrated by Patricia Castelao,HarperCollins,"In this sequel to ""The One and Only Ivan,"" Bob sets out on a dangerous journey in search of his long-lost sister.",64 weeks on the list
THE ICKABOG,J.K. Rowling,Scholastic,A fearsome monster threatens the kingdom of Cornucopia.,37 weeks on the list
BEST NERDS FOREVER,James Patterson and Chris Grabenstein,jimmy patterson,"As a ghost, Finn attempts to solve his own murder.",11 weeks on the list
GROUND ZERO,Alan Gratz,Scholastic,"Parallel storylines of Brandon and Reshmina take place on Sept. 11th, in 2001 and 2019.",18 weeks on the list
"DUDE PERFECT 101 TRICKS, TIPS, AND COOL STUFF",Dude Perfect with Travis Thrasher,Thomas Nelson,Step-by-step instructions to do your own trick shots.,5 weeks on the list
